scenario_name,fault_injection_timestamp,detection_timestamp,recovery_timestamp,detection_delay,recovery_delay,poll_interval,notes,sync_mode,topology_name,topology_file,target_link,target_src_city,target_dst_city,target_distance_km,controller_app,background_traffic,background_flow_count,background_load_percent,background_target_bandwidth_mbps,controller_event_queue_depth_at_detection,controller_event_queue_depth_peak_until_detection,controller_events_until_detection,pre_fault_fidelity,post_fault_fidelity,post_recovery_fidelity,node_count,link_count,sync_duration_ms,api_call_count,pre_fault_total_packets,pre_fault_total_bytes,post_detection_total_packets,post_detection_total_bytes,post_recovery_total_packets,post_recovery_total_bytes,resource_log_file,repeat_index,configured_repeat_count
recovery_scenario,2026-04-24T22:18:17.528724+00:00,2026-04-24T22:18:18.311209+00:00,2026-04-24T22:18:20.448406+00:00,0.782485,1.775319,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,80,80.0,3561,3561,7,0.8415296515746404,0.8759459969516771,0.9838787661995004,8,10,134.94029897265136,28,452,35348,5374,17855356,12705,45885550,data/exports/load_linearity_recovery_uniform60_80pct_resource_logs.csv,1,10
recovery_scenario,2026-04-24T22:18:29.779038+00:00,2026-04-24T22:18:30.521291+00:00,2026-04-24T22:18:32.652325+00:00,0.742253,1.743343,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,80,80.0,3677,3677,6,0.8415718319183619,0.8834793440263273,0.982916801866233,8,10,126.88579293899238,28,450,35264,6232,18106072,17239,42867034,data/exports/load_linearity_recovery_uniform60_80pct_resource_logs.csv,2,10
recovery_scenario,2026-04-24T22:18:42.404561+00:00,2026-04-24T22:18:43.270198+00:00,2026-04-24T22:18:45.438830+00:00,0.865637,1.881349,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,80,80.0,3794,3794,6,0.8411610566533293,0.8845605551732652,0.9880155821571404,8,10,171.6265040449798,28,454,35480,5044,18757188,5175,18893880,data/exports/load_linearity_recovery_uniform60_80pct_resource_logs.csv,3,10
recovery_scenario,2026-04-24T22:18:54.850225+00:00,2026-04-24T22:18:55.865644+00:00,2026-04-24T22:18:58.433410+00:00,1.015419,1.961872,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,80,80.0,3912,3912,6,0.8418706440165007,0.8672359388738887,0.9904563764270738,8,10,573.3479900518432,28,450,35268,4650,17972588,12351,36906194,data/exports/load_linearity_recovery_uniform60_80pct_resource_logs.csv,4,10
recovery_scenario,2026-04-24T22:19:07.675181+00:00,2026-04-24T22:19:08.576726+00:00,2026-04-24T22:19:10.707403+00:00,0.901545,1.879968,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,80,80.0,4027,4027,6,0.8417137235918248,0.8847719367765484,0.9886426457440463,8,10,129.12725401110947,28,464,36420,6184,17868448,14303,37464266,data/exports/load_linearity_recovery_uniform60_80pct_resource_logs.csv,5,10
recovery_scenario,2026-04-24T22:19:20.030758+00:00,2026-04-24T22:19:20.733131+00:00,2026-04-24T22:19:22.848947+00:00,0.702373,1.679063,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,80,80.0,4142,4142,6,0.8412682958891912,0.8738987311556419,0.9800177151626718,8,10,117.23832599818707,28,446,34896,6048,17459544,10593,38825086,data/exports/load_linearity_recovery_uniform60_80pct_resource_logs.csv,6,10
recovery_scenario,2026-04-24T22:19:32.274682+00:00,2026-04-24T22:19:33.223998+00:00,2026-04-24T22:19:35.346271+00:00,0.949316,1.911225,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,80,80.0,4260,4260,7,0.8415432482096418,0.8868211142371712,0.9912179994451341,8,10,122.75895802304149,28,440,34336,4996,18881424,14198,47814132,data/exports/load_linearity_recovery_uniform60_80pct_resource_logs.csv,7,10
recovery_scenario,2026-04-24T22:19:44.585264+00:00,2026-04-24T22:19:45.491742+00:00,2026-04-24T22:19:47.624002+00:00,0.906478,1.84678,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,80,80.0,4377,4377,6,0.841637562638912,0.8832559550874258,0.987001073192703,8,10,133.71021999046206,28,456,35708,5114,17930964,11400,46561744,data/exports/load_linearity_recovery_uniform60_80pct_resource_logs.csv,8,10
recovery_scenario,2026-04-24T22:19:57.187818+00:00,2026-04-24T22:19:57.991385+00:00,2026-04-24T22:20:00.098353+00:00,0.803567,1.794076,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,80,80.0,4493,4493,7,0.8418333456165149,0.8833103066700121,0.9858738542354509,8,10,109.41181995440274,28,454,35540,5652,17743232,15413,44028986,data/exports/load_linearity_recovery_uniform60_80pct_resource_logs.csv,9,10
recovery_scenario,2026-04-24T22:20:09.470546+00:00,2026-04-24T22:20:10.267844+00:00,2026-04-24T22:20:12.399304+00:00,0.797298,1.79408,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,80,80.0,4607,4607,7,0.8415071845422332,0.8782859180835059,0.9855180311200311,8,10,132.16726097743958,28,448,34964,6502,18931500,16386,46683928,data/exports/load_linearity_recovery_uniform60_80pct_resource_logs.csv,10,10
