scenario_name,fault_injection_timestamp,detection_timestamp,recovery_timestamp,detection_delay,recovery_delay,poll_interval,notes,sync_mode,topology_name,topology_file,target_link,target_src_city,target_dst_city,target_distance_km,controller_app,background_traffic,background_flow_count,background_load_percent,background_target_bandwidth_mbps,controller_event_queue_depth_at_detection,controller_event_queue_depth_peak_until_detection,controller_events_until_detection,pre_fault_fidelity,post_fault_fidelity,post_recovery_fidelity,node_count,link_count,sync_duration_ms,api_call_count,pre_fault_total_packets,pre_fault_total_bytes,post_detection_total_packets,post_detection_total_bytes,post_recovery_total_packets,post_recovery_total_bytes,resource_log_file,repeat_index,configured_repeat_count
recovery_scenario,2026-04-25T09:20:32.452191+00:00,2026-04-25T09:20:34.965900+00:00,2026-04-25T09:20:39.546187+00:00,2.513709,4.381267,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,10,10.0,44,44,7,0.8417929887526445,0.8832597943686065,0.9719929669717943,8,10,2593.472169013694,28,440,34188,2532,5415348,10119,25479910,data/exports/load_linearity_recovery_isolated_uniform60_10pct_resource_logs.csv,1,10
recovery_scenario,2026-04-25T09:20:49.176501+00:00,2026-04-25T09:20:51.979011+00:00,2026-04-25T09:20:56.728400+00:00,2.80251,4.326309,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,10,10.0,161,161,7,0.8420390691554714,0.8980918300995877,0.9813311579681451,8,10,2726.684711058624,28,444,34736,2460,5410688,7922,6928256,data/exports/load_linearity_recovery_isolated_uniform60_10pct_resource_logs.csv,2,10
recovery_scenario,2026-04-25T09:21:06.264199+00:00,2026-04-25T09:21:07.759877+00:00,2026-04-25T09:21:11.059950+00:00,1.495678,3.12287,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,10,10.0,278,278,7,0.8418902969942383,0.8984834831642688,0.9743619494440477,8,10,1286.9425569660962,28,454,35604,3472,5477784,8357,20226910,data/exports/load_linearity_recovery_isolated_uniform60_10pct_resource_logs.csv,3,10
recovery_scenario,2026-04-25T09:21:20.871746+00:00,2026-04-25T09:21:23.246341+00:00,2026-04-25T09:21:27.159748+00:00,2.374595,3.532479,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,10,10.0,400,400,7,0.8418996712688215,0.8802044430168909,0.9761159403186646,8,10,1890.6571959378198,28,442,34456,2374,5221212,8013,18443740,data/exports/load_linearity_recovery_isolated_uniform60_10pct_resource_logs.csv,4,10
recovery_scenario,2026-04-25T09:21:37.193998+00:00,2026-04-25T09:21:39.205033+00:00,2026-04-25T09:21:42.192109+00:00,2.011035,2.77192,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,10,10.0,521,521,7,0.8418877541782113,0.9059433838591354,0.9723652860617675,8,10,978.9612010354176,28,442,34516,2598,5419900,3464,6412894,data/exports/load_linearity_recovery_isolated_uniform60_10pct_resource_logs.csv,5,10
recovery_scenario,2026-04-25T09:21:51.763483+00:00,2026-04-25T09:21:54.084867+00:00,2026-04-25T09:21:58.222514+00:00,2.321384,3.734093,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,10,10.0,638,638,7,0.8414236105890467,0.884116475585037,0.9804386760473701,8,10,2121.8432231107727,28,452,35444,2540,5416272,4964,5645332,data/exports/load_linearity_recovery_isolated_uniform60_10pct_resource_logs.csv,6,10
recovery_scenario,2026-04-25T09:22:07.859949+00:00,2026-04-25T09:22:11.028882+00:00,2026-04-25T09:22:16.381784+00:00,3.168933,4.736943,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,10,10.0,758,758,7,0.842122672715721,0.885776900533638,0.9582594103896833,8,10,3335.831777076237,28,454,35496,2480,5412300,13329,27497280,data/exports/load_linearity_recovery_isolated_uniform60_10pct_resource_logs.csv,7,10
recovery_scenario,2026-04-25T09:22:26.150884+00:00,2026-04-25T09:22:28.324889+00:00,2026-04-25T09:22:32.356984+00:00,2.174005,3.272723,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,10,10.0,879,879,7,0.8414252878859952,0.8955751890957552,0.9808282767984156,8,10,2009.3450490385294,28,450,35236,3174,5458116,6297,7160498,data/exports/load_linearity_recovery_isolated_uniform60_10pct_resource_logs.csv,8,10
recovery_scenario,2026-04-25T09:22:41.865302+00:00,2026-04-25T09:22:44.935253+00:00,2026-04-25T09:22:49.056972+00:00,3.069951,3.439017,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,10,10.0,996,996,7,0.8418252013251639,0.8649547685187803,0.9858011907671127,8,10,2102.0214579766616,28,458,35880,2390,5406308,7295,15844578,data/exports/load_linearity_recovery_isolated_uniform60_10pct_resource_logs.csv,9,10
recovery_scenario,2026-04-25T09:22:58.478361+00:00,2026-04-25T09:23:00.938885+00:00,2026-04-25T09:23:03.899978+00:00,2.460524,2.701257,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,10,10.0,1118,1118,7,0.8418228437758689,0.9039988873778786,0.983087113725251,8,10,954.6107390196994,28,448,35088,3392,5646256,7413,14294952,data/exports/load_linearity_recovery_isolated_uniform60_10pct_resource_logs.csv,10,10
