scenario_name,fault_injection_timestamp,detection_timestamp,recovery_timestamp,detection_delay,recovery_delay,poll_interval,notes,sync_mode,topology_name,topology_file,target_link,target_src_city,target_dst_city,target_distance_km,controller_app,background_traffic,background_flow_count,background_load_percent,background_target_bandwidth_mbps,pre_fault_fidelity,post_fault_fidelity,post_recovery_fidelity,node_count,link_count,sync_duration_ms,api_call_count,pre_fault_total_packets,pre_fault_total_bytes,post_detection_total_packets,post_detection_total_bytes,post_recovery_total_packets,post_recovery_total_bytes,resource_log_file,repeat_index,configured_repeat_count
recovery_scenario,2026-04-24T21:37:35.189081+00:00,2026-04-24T21:37:36.769382+00:00,2026-04-24T21:37:38.929813+00:00,1.580301,1.598183,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,50,50.0,0.8418158267580157,0.8694806449957531,0.9808296681392381,8,10,160.3009420214221,28,442,34408,6162,19470068,15572,41006976,data/exports/load_linearity_recovery_50pct_resource_logs.csv,9,10
recovery_scenario,2026-04-24T21:37:48.932238+00:00,2026-04-24T21:37:50.339989+00:00,2026-04-24T21:37:52.900907+00:00,1.407751,2.320561,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,50,50.0,0.8409822322684561,0.8801215786251999,0.9836823587086377,8,10,552.326702978462,28,460,36020,6324,20290784,20878,56004480,data/exports/load_linearity_recovery_50pct_resource_logs.csv,10,10
recovery_scenario,2026-04-24T21:43:03.036427+00:00,2026-04-24T21:43:03.561223+00:00,2026-04-24T21:43:05.691088+00:00,0.524796,1.511533,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,80,80.0,0.8416964452880463,0.8671604355841294,0.9737509148178315,8,10,132.70442094653845,28,452,35356,6392,18406032,14509,39789670,data/exports/load_linearity_recovery_80retry_80pct_resource_logs.csv,1,10
recovery_scenario,2026-04-24T21:43:15.402865+00:00,2026-04-24T21:43:16.587140+00:00,2026-04-24T21:43:18.851534+00:00,1.184275,1.810048,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,80,80.0,0.8407159238628069,0.8733668815776057,0.9856655537890081,8,10,260.1135449949652,28,446,34996,4794,18115364,12154,27555582,data/exports/load_linearity_recovery_80retry_80pct_resource_logs.csv,2,10
recovery_scenario,2026-04-24T21:43:28.148195+00:00,2026-04-24T21:43:29.089015+00:00,2026-04-24T21:43:31.182327+00:00,0.94082,1.806651,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,80,80.0,0.8413352734514888,0.8963829997569386,0.9875720484373365,8,10,93.416997930035,28,452,35276,5702,17998412,15756,46989340,data/exports/load_linearity_recovery_80retry_80pct_resource_logs.csv,3,10
recovery_scenario,2026-04-24T21:43:40.586153+00:00,2026-04-24T21:43:41.432116+00:00,2026-04-24T21:43:43.544237+00:00,0.845963,1.834279,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,80,80.0,0.8419402823045142,0.8825242891304713,0.9860615368181085,8,10,108.6291850078851,28,458,35956,5624,17677824,14898,42031656,data/exports/load_linearity_recovery_80retry_80pct_resource_logs.csv,4,10
recovery_scenario,2026-04-24T21:43:52.965513+00:00,2026-04-24T21:43:53.829144+00:00,2026-04-24T21:43:55.964231+00:00,0.863631,1.889322,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,80,80.0,0.8417871965581576,0.8769288791567875,0.9894933320683043,8,10,133.78284592181444,28,452,35336,5104,17680928,13162,45909922,data/exports/load_linearity_recovery_80retry_80pct_resource_logs.csv,5,10
recovery_scenario,2026-04-24T21:44:05.175848+00:00,2026-04-24T21:44:05.684143+00:00,2026-04-24T21:44:07.793665+00:00,0.508295,1.501067,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,80,80.0,0.8415952644981471,0.8651006585214099,0.993463186301148,8,10,108.83801302406937,28,450,35252,5746,17992676,12620,35366584,data/exports/load_linearity_recovery_80retry_80pct_resource_logs.csv,6,10
recovery_scenario,2026-04-24T21:44:16.965841+00:00,2026-04-24T21:44:17.726077+00:00,2026-04-24T21:44:19.818584+00:00,0.760236,1.730583,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,80,80.0,0.8415679003422959,0.8824187003006201,0.9842884684287645,8,10,90.12871503364295,28,447,34942,5508,18892016,16014,44471840,data/exports/load_linearity_recovery_80retry_80pct_resource_logs.csv,7,10
recovery_scenario,2026-04-24T21:44:29.305097+00:00,2026-04-24T21:44:30.237746+00:00,2026-04-24T21:44:32.377684+00:00,0.932649,1.964203,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,80,80.0,0.8412432832021531,0.893762321573045,0.9929010316159824,8,10,139.4781470298767,28,446,34688,6598,19111452,11694,22353074,data/exports/load_linearity_recovery_80retry_80pct_resource_logs.csv,8,10
recovery_scenario,2026-04-24T21:44:41.664493+00:00,2026-04-24T21:44:42.846191+00:00,2026-04-24T21:44:45.256444+00:00,1.181698,1.955093,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,80,80.0,0.8417178337177484,0.8598517962197478,0.9927706477180938,8,10,404.94501299690455,28,448,35004,6414,18381284,17295,49329140,data/exports/load_linearity_recovery_80retry_80pct_resource_logs.csv,9,10
recovery_scenario,2026-04-24T21:44:54.493486+00:00,2026-04-24T21:44:55.167677+00:00,2026-04-24T21:44:57.287387+00:00,0.674191,1.66526,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,80,80.0,0.841869208215481,0.8746793899786011,0.9802124988209864,8,10,120.08965306449682,28,450,35188,6586,19151524,16103,44249690,data/exports/load_linearity_recovery_80retry_80pct_resource_logs.csv,10,10
